,date,同比增长 (%)
0,2002-03-31,-4.370591430727907
1,2002-06-30,-17.48868955157625
2,2002-09-30,-0.4017420630189222
3,2002-12-31,4.758281830422025
4,2003-03-31,86.8213192884785
5,2003-06-30,30.081822300059997
6,2003-09-30,32.85620498364488
7,2003-12-31,38.45886002588535
8,2004-03-31,43.84760341802511
9,2004-06-30,46.66070085695904
10,2004-09-30,37.929928023875114
11,2004-12-31,47.84924039715572
12,2005-03-31,2.8531629819002347
13,2005-06-30,0.9175514706648393
14,2005-09-30,-2.995057620197241
15,2005-12-31,14.652256685928874
16,2006-03-31,-9.506679924212706
17,2006-06-30,10.445170153978285
18,2006-09-30,25.050458993121357
19,2006-12-31,28.38991431486792
20,2007-03-31,76.90637513943533
21,2007-06-30,65.55154159353563
22,2007-09-30,62.50094750800945
23,2007-12-31,55.9934557256373
24,2008-03-31,19.281504468389414
25,2008-06-30,19.137387712706648
26,2008-09-30,10.29955085060332
27,2008-12-31,-15.81582074654056
28,2009-03-31,-24.232139762375184
29,2009-06-30,-13.221226071181825
30,2009-09-30,-0.8694745121508368
31,2009-12-31,30.917854384449424
32,2010-03-31,62.879947704034066
33,2010-06-30,43.86959542655159
34,2010-09-30,38.52198826918281
35,2010-12-31,37.80997358065884
36,2011-03-31,24.509671013955547
37,2011-06-30,24.02274828687298
38,2011-09-30,20.566406880379546
39,2011-12-31,12.88529315885988
40,2012-03-31,0.7816940029407367
41,2012-06-30,-0.051710426554301366
42,2012-09-30,-1.4107967578125513
43,2012-12-31,1.9036996681235268
44,2013-03-31,10.840008741092348
45,2013-06-30,11.888771805589789
46,2013-09-30,14.843008473861815
47,2013-12-31,14.412157997914926
48,2014-03-31,8.680684770189362
49,2014-06-30,10.39199994194398
50,2014-09-30,9.922813304682842
51,2014-12-31,7.653721897051399
52,2015-03-31,4.427195361151382
53,2015-06-30,11.508291257263025
54,2015-09-30,3.442245285334664
55,2015-12-31,3.912296369546448
56,2016-03-31,-0.8364113152980577
57,2016-06-30,-4.137827047704067
58,2016-09-30,2.3895534108112773
59,2016-12-31,6.0665963629800315
60,2017-03-31,20.986898363753205
61,2017-06-30,17.42649497446371
62,2017-09-30,19.428195961301416
63,2017-12-31,20.31699404343254
64,2018-03-31,14.083087079230994
65,2018-06-30,14.797686409760189
66,2018-09-30,11.47531968150282
67,2018-12-31,2.018759846084584
68,2019-03-31,10.947357355377738
69,2019-06-30,9.819400627284454
70,2019-09-30,9.293185157833065
71,2019-12-31,7.972688348224061
72,2020-03-31,-22.18850190627862
73,2020-06-30,-15.687766379124144
74,2020-09-30,-5.309378984062593
75,2020-12-31,2.487123667285479
76,2021-03-31,54.09514936352201
77,2021-06-30,42.31235853525575
78,2021-09-30,25.939403768868385
79,2021-12-31,20.895494847443917
80,2022-03-31,6.362336578182175
81,2022-06-30,4.752611988438072
82,2022-09-30,3.7964919389076646
83,2022-12-31,2.577002698089911
84,2023-03-31,1.9529571527949232
85,2023-06-30,-3.1252645079621937
86,2023-09-30,-1.4812688349819625
87,2023-12-31,-1.225820255091372
88,2024-03-31,-4.318434967456213
89,2024-06-30,-2.4138786332152455
90,2024-09-30,-0.001039235974271047
